DATE,CPILFENS
2018-01-01,254.638
2018-02-01,255.783
2018-03-01,256.610
2018-04-01,257.025
2018-05-01,257.469
2018-06-01,257.697
2018-07-01,257.867
2018-08-01,258.012
2018-09-01,258.429
2018-10-01,259.063
2018-11-01,259.105
2018-12-01,259.083
2019-01-01,260.122
2019-02-01,261.114
2019-03-01,261.836
2019-04-01,262.332
2019-05-01,262.590
2019-06-01,263.177
2019-07-01,263.566
2019-08-01,264.169
2019-09-01,264.522
2019-10-01,265.059
2019-11-01,265.108
2019-12-01,264.935
2020-01-01,266.004
2020-02-01,267.268
2020-03-01,267.312
2020-04-01,266.089
2020-05-01,265.799
2020-06-01,266.302
2020-07-01,267.703
2020-08-01,268.756
2020-09-01,269.054
2020-10-01,269.328
2020-11-01,269.473
2020-12-01,269.226
2021-01-01,269.755
2021-02-01,270.696
2021-03-01,271.713
2021-04-01,273.968
2021-05-01,275.893
2021-06-01,278.218
2021-07-01,279.146
2021-08-01,279.507
2021-09-01,279.884
2021-10-01,281.617
2021-11-01,282.754
2021-12-01,283.908
2022-01-01,285.996
2022-02-01,288.059
2022-03-01,289.305
2022-04-01,290.846
2022-05-01,292.506
2022-06-01,294.680
2022-07-01,295.646
2022-08-01,297.178
2022-09-01,298.442
2022-10-01,299.315
2022-11-01,299.600
2022-12-01,300.113
2023-01-01,301.962
2023-02-01,304.011
2023-03-01,305.476
2023-04-01,306.899
2023-05-01,308.096
2023-06-01,308.910
2023-07-01,309.402
2023-08-01,310.103
